date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 16,home,Salt Lake,L,6-3,6,3,3,win,20230416_bx3m,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Apr 16,home,Salt Lake,L,18-8,18,8,10,win,20230416_f3pb,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Apr 15,home,Salt Lake,L,14-1,14,1,13,win,20230415_qxix,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Apr 15,home,Salt Lake,L,14-1,14,1,13,win,20230415_wfss,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Apr 1,home,Southern Idaho,W,6-3,6,3,3,win,20230401_tim3,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Apr 1,home,Southern Idaho,L,4-1,4,1,3,win,20230401_we5m,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 31,home,Southern Idaho,L,4-3,4,3,1,win,20230331_xrmr,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 31,home,Southern Idaho,L,5-0,5,0,5,win,20230331_pxk7,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 25,home,Southern Nevada,L,15-0,15,0,15,win,20230325_z9tv,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 25,home,Southern Nevada,L,4-3,4,3,1,win,20230325_mdvm,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 24,home,Southern Nevada,L,13-5,13,5,8,win,20230324_bmwo,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 24,home,Southern Nevada,L,8-7,8,7,1,win,20230324_rjf2,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 18,home,Utah State Eastern,L,3-2,3,2,1,win,20230318_4x4v,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 18,home,Utah State Eastern,W,4-0,4,0,4,win,20230318_6obw,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 17,home,Utah State Eastern,L,11-0,11,0,11,win,20230317_dodc,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 17,home,Utah State Eastern,W,12-8,12,8,4,win,20230317_8n9q,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 13,home,Salt Lake,L,7-1,7,1,6,win,20230313_irv8,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 12,home,Salt Lake,L,7-6,7,6,1,win,20230312_kvcx,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Mar 12,home,Salt Lake,L,7-2,7,2,5,win,20230312_w1q1,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 28,home,Community Christian (CA),W,9-4,9,4,5,win,20230228_fese,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 28,home,Community Christian (CA),W,11-1,11,1,10,win,20230228_kfep,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 24,home,Prairie Baseball Academy,W,10-4,10,4,6,win,20230224_3z9h,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 24,home,Prairie Baseball Academy,L,14-6,14,6,8,win,20230224_rfpd,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 23,home,Prairie Baseball Academy,L,10-3,10,3,7,win,20230223_3d5l,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 23,home,Prairie Baseball Academy,L,20-10,20,10,10,win,20230223_4nbh,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 22,home,Prairie Baseball Academy,L,10-0,10,0,10,win,20230222_uj9c,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 3,home,Paradise Valley,L,13-2,13,2,11,win,20230203_4xxn,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 3,home,Paradise Valley,L,4-2,4,2,2,win,20230203_vsbx,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Feb 1,home,Glendale,L,6-1,6,1,5,win,20230201_ucf7,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Jan 28,home,Cochise,W,5-3,5,3,2,win,20230128_nbdz,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
Jan 27,home,Cochise,L,4-1,4,1,3,win,20230127_asfs,0,0,0,0,0.0,,,,0.00,,,,2023,2022-23,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,cassidywattkudd,Cassidy Watt
