date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 18,home,Palm Beach State,L,4-1,4,1,3.0,win,20170218_byks,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 18,home,Palm Beach State,L,8-5,8,5,3.0,win,20170218_d942,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 20,home,East Georgia State,W,8-4,8,4,4.0,win,20170220_rzdn,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 22,home,Abraham Baldwin,,,,,4.0,win,,,,,,,,,,,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 24,home,USC Sumter,W,7-1,7,1,6.0,win,20170224_bc2b,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 25,home,USC Sumter,L,6-5,6,5,1.0,win,20170225_f2uc,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Feb 25,home,USC Sumter,W,13-4,13,4,9.0,win,20170225_chwa,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 1,home,Santa Fe,L,12-8,12,8,4.0,win,20170301_zb6a,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 3,home,Santa Fe,L,12-4,12,4,8.0,win,20170303_jv2y,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 4,home,Santa Fe,W,5-3,5,3,2.0,win,20170304_52ib,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 6,home,Daytona State,L,8-4,8,4,4.0,win,20170306_22c4,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 10,home,Daytona State,W,15-5,15,5,10.0,win,20170310_gzm8,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 11,home,Central Florida,W,6-4,6,4,2.0,win,20170311_eu4e,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 13,home,Central Florida,L,11-2,11,2,9.0,win,20170313_pjof,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 15,home,Central Florida,W,8-7,8,7,1.0,win,20170315_xxlf,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 17,home,Daytona State,L,7-4,7,4,3.0,win,20170317_kmva,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 24,home,Lake-Sumter State,W,6-5,6,5,1.0,win,20170324_vmci,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 25,home,Lake-Sumter State,W,8-6,8,6,2.0,win,20170325_ob68,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 27,home,Lake-Sumter State,W,8-6,8,6,2.0,win,20170327_fdce,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 29,home,St. Johns River State,W,3-1,3,1,2.0,win,20170329_wesd,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Mar 31,home,St. Johns River State,L,11-1,11,1,10.0,win,20170331_xk6y,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 1,home,St. Johns River State,L,6-2,6,2,4.0,win,20170401_u155,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 5,home,Seminole State (FL),L,13-6,13,6,7.0,win,20170405_4udd,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 7,home,Seminole State (FL),L,12-3,12,3,9.0,win,20170407_ytye,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 8,home,Seminole State (FL),W,8-5,8,5,3.0,win,20170408_vme8,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 10,home,Santa Fe,W,9-5,9,5,4.0,win,20170410_8v5q,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 12,home,Daytona State,L,5-3,5,3,2.0,win,20170412_w0pe,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 14,home,Central Florida,L,16-6,16,6,10.0,win,20170414_qinx,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 17,home,Lake-Sumter State,L,11-5,11,5,6.0,win,20170417_zwj2,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 19,home,St. Johns River State,L,10-6,10,6,4.0,win,20170419_u7ef,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
Apr 21,home,Seminole State (FL),L,21-4,21,4,17.0,win,20170421_46kg,0,0,0,0,0.0,,,,0.00,,,,2017,2016-17,div1,Florida State Jacksonville,floridastatecollegeatjacksonville,bradyvanhook9ay8,Brady VanHook
