date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 24,home,Broward,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Feb 28,home,Eastern Florida State,W,9-5,9,5,4.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 2,away,Eastern Florida State,L,7-6,7,6,1.0,win,20180302_97d3,1,0,0,0,6.0,6,3,0,0.00,1,12,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 3,home,Eastern Florida State,W,9-0,9,0,9.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 5,home,Kalamazoo Valley,W,16-4,16,4,12.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 7,away,Palm Beach State,,,,,12.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 8,away,Palm Beach State,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 9,home,Palm Beach State,L,6-0,6,0,6.0,win,20180309_f6ww,1,0,1,0,5.0,10,6,6,10.80,0,5,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 10,away,Palm Beach State,L,6-0,6,0,6.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 12,home,Kirkwood,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 14,home,Miami Dade,L,9-3,9,3,6.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 16,away,Miami Dade,W,3-1,3,1,2.0,win,20180316_ouxl,1,1,0,0,6.2,6,1,1,1.35,1,6,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 17,home,Miami Dade,L,11-8,11,8,3.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 19,home,Lafleche College,W,11-5,11,5,6.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 23,home,ASA Miami,L,12-5,12,5,7.0,win,20180323_5p8k,1,0,1,0,4.0,4,2,1,2.25,0,8,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 24,home,ASA Miami,W,10-3,10,3,7.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 24,home,ASA Miami,L,1-0,1,0,1.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 28,away,Broward,L,6-1,6,1,5.0,win,20180328_mfqg,1,0,1,0,6.1,8,5,4,5.68,1,6,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 30,home,Broward,W,8-1,8,1,7.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 31,away,Broward,W,6-4,6,4,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Mar 31,away,Broward,L,5-4,5,4,1.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 4,away,Eastern Florida State,L,5-3,5,3,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 6,away,Eastern Florida State,L,8-6,8,6,2.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 7,home,Eastern Florida State,W,12-0,12,0,12.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 7,home,Eastern Florida State,L,8-0,8,0,8.0,win,20180407_u5z6,1,0,1,0,2.0,7,6,5,22.50,0,1,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 11,home,Palm Beach State,L,14-5,14,5,9.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 13,away,Palm Beach State,L,6-3,6,3,3.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 14,home,Palm Beach State,W,15-4,15,4,11.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 14,home,Palm Beach State,L,13-3,13,3,10.0,win,20180414_16sw,0,0,0,0,1.0,5,3,3,27.00,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 18,away,Miami Dade,W,5-4,5,4,1.0,win,20180418_d10s,1,0,0,0,5.2,5,3,1,1.59,2,6,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 20,home,Miami Dade,W,6-1,6,1,5.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 21,away,Miami Dade,L,9-3,9,3,6.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
Apr 21,away,Miami Dade,L,9-2,9,2,7.0,win,,,,,,,,,,,,,,2018,2017-18,div1,Indian River State,indianriverstatecollege,justinalintoffsgb3,Justin Alintoff
