date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 8,home,Pitt,L,6-5,6,5,1.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 11,home,Patrick & Henry,L,11-0,11,0,11.0,win,20150411_585v,1,0,1,0,2.0,8,9,6,27.00,1,1,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 11,home,Patrick & Henry,L,13-4,13,4,9.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 12,home,Patrick & Henry,L,10-0,10,0,10.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 15,home,The Albemarle,W,10-9,10,9,1.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 18,home,Wake Tech,L,3-0,3,0,3.0,win,20150418_v3xd,1,0,1,0,9.0,6,3,1,1.00,1,2,1,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 18,home,Wake Tech,L,11-1,11,1,10.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 19,home,Wake Tech,L,2-0,2,0,2.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 22,home,Pitt,L,7-6,7,6,1.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 25,home,Surry,,,,,1.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 26,home,Surry,W,12-4,12,4,8.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 26,home,Surry,W,12-1,12,1,11.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
Apr 29,home,Louisburg,W,21-9,21,9,12.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
May 2,home,Brunswick,W,8-0,8,0,8.0,win,20150502_ppym,1,1,0,0,8.0,1,0,0,0.00,2,1,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
May 2,home,Brunswick,W,18-5,18,5,13.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
May 3,home,Brunswick,W,16-11,16,11,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
May 8,home,Pasco-Hernando State,L,6-1,6,1,5.0,win,,,,,,,,,,,,,,2015,2014-15,div2,Lenoir,lenoircommunitycollege,jamiecyr3qnb,Jamie Cyr
