date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Mar 12,home,Dallas College - Eastfield,W,6-2,6,2,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 13,home,Dallas College - Eastfield,L,8-7,8,7,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 24,home,Dallas College - North Lake,L,2-1,2,1,1.0,win,20210324_bcd0,3,1,1,,,1,1,,1,,,,,,4,1,,,,,3,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 26,home,Dallas College - North Lake,L,6-5,6,5,1.0,win,20210326_yqyv,4,2,2,,,,0,,2,,,,,,2,0,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 27,home,Dallas College - North Lake,L,11-7,11,7,4.0,win,20210327_c8e3,3,1,1,,,,0,,,,,,,,1,0,,,,,3,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 29,home,Dallas College - Brookhaven,W,17-3,17,3,14.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Mar 31,home,Dallas College - Brookhaven,L,14-7,14,7,7.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 1,home,Dallas College - Brookhaven,L,13-2,13,2,11.0,win,20210401_oxyt,1,0,0,,,,0,,,,,,,,0,0,,,,,1,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 2,home,Dallas College - Brookhaven,L,9-4,9,4,5.0,win,20210402_7pu2,4,1,2,,,1,2,,1,,,,,,5,1,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 5,home,Dallas College - Mountain View,W,11-4,11,4,7.0,win,20210405_q15x,4,1,2,,,1,2,1,2,2,,,,,5,1,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 7,home,Dallas College - Mountain View,L,11-10,11,10,1.0,win,20210407_9okx,5,1,3,1,,1,3,,2,1,,,,,7,2,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 9,home,Dallas College - Mountain View,W,9-5,9,5,4.0,win,20210409_fu9e,5,1,3,1,,1,4,,,,,,,,7,2,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 10,home,Dallas College - Mountain View,W,10-0,10,0,10.0,win,20210410_a1fe,3,2,1,,,1,1,1,2,,,,,,4,1,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 12,home,Dallas College - Cedar Valley,L,9-1,9,1,8.0,win,20210412_75tk,3,0,1,,,,0,1,1,,,,,,1,0,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 14,home,Dallas College - Cedar Valley,W,13-0,13,0,13.0,win,20210414_ec3c,5,3,4,,,1,3,,1,2,,,,,7,1,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 15,home,Dallas College - Cedar Valley,W,5-1,5,1,4.0,win,20210415_lktz,2,1,2,,,,2,,,3,,,1,,2,0,,,,,3,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 17,home,Dallas College - Cedar Valley,L,8-4,8,4,4.0,win,20210417_xxz7,5,0,0,,,,0,,3,,,,,,0,0,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 19,home,Dallas College - Eastfield,L,21-5,21,5,16.0,win,20210419_5alr,3,0,1,,,,0,,2,,,,,,1,0,,,,,3,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 22,home,Dallas College - Eastfield,L,7-3,7,3,4.0,win,20210422_e4uv,4,0,0,,,,0,,1,,,,,,0,0,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 24,home,Dallas College - Eastfield,L,19-4,19,4,15.0,win,20210424_edtq,2,0,1,,,,0,1,1,,,1,,,1,0,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 25,home,Dallas College - Eastfield,L,13-7,13,7,6.0,win,20210425_j07q,4,1,0,,,,1,1,2,,,,,,0,0,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 26,home,Dallas College - North Lake,L,5-0,5,0,5.0,win,20210426_3rqq,4,0,0,,,,0,,2,,,,,,0,0,,,,,4,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 28,home,Dallas College - North Lake,L,6-5,6,5,1.0,win,20210428_iv1u,4,0,1,,,,0,1,1,1,,,,,1,0,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
Apr 30,home,Dallas College - North Lake,W,7-2,7,2,5.0,win,20210430_i2ho,4,0,0,,,,0,1,4,,,,,,0,0,,,,,5,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
May 1,home,Dallas College - North Lake,W,14-3,14,3,11.0,win,20210501_6hca,2,0,0,,,,0,,2,,,,,,0,0,,,,,2,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
May 5,home,Dallas College - Eastfield,L,9-5,9,5,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
May 6,home,North Arkansas,W,9-7,9,7,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2021,2020-21,div3,Dallas College - Richland,richlandcollege,caseyfowlergt18,Casey Fowler
